member_id,member_name,gender,age,membership_type,preferred_facility,join_date,expiry_date,status
M00166,Member 166,Male,20,Monthly,Basketball,2025-09-25,2025-10-25,Expired
M00167,Member 167,Male,18,Monthly,Basketball,2026-05-25,2026-06-24,Expired
M00168,Member 168,Male,16,Monthly,Swimming Pool,2026-01-21,2026-02-20,Expired
M00169,Member 169,Female,53,Quarterly,Gym,2026-01-22,2026-04-22,Expired
M00170,Member 170,Male,30,Quarterly,Football,2025-04-23,2025-07-22,Expired
M00171,Member 171,Female,49,Monthly,Gym,2025-03-22,2025-04-21,Expired
M00172,Member 172,Male,50,Quarterly,Football,2025-04-23,2025-07-22,Expired
M00173,Member 173,Male,64,Monthly,Gym,2025-01-02,2025-02-01,Expired
M00174,Member 174,Male,40,Monthly,Basketball,2025-08-08,2025-09-07,Expired
M00175,Member 175,Male,39,Annual,Badminton,2026-07-20,2027-07-20,Active
M00176,Member 176,Male,27,Monthly,Badminton,2025-08-13,2025-09-12,Expired
M00177,Member 177,Male,33,Monthly,Swimming Pool,2026-01-20,2026-02-19,Expired
M00178,Member 178,Male,30,Monthly,Football,2026-02-07,2026-03-09,Expired
M00179,Member 179,Female,59,Monthly,Football,2025-05-10,2025-06-09,Expired
M00180,Member 180,Male,31,Annual,Football,2025-02-22,2026-02-22,Expired
M00181,Member 181,Female,42,Quarterly,Basketball,2026-02-20,2026-05-21,Expired
M00182,Member 182,Male,23,Annual,Football,2025-09-04,2026-09-04,Active
M00183,Member 183,Female,61,Quarterly,Badminton,2026-03-15,2026-06-13,Expired
M00184,Member 184,Female,40,Monthly,Basketball,2025-07-22,2025-08-21,Expired
M00185,Member 185,Female,32,Monthly,Gym,2025-07-03,2025-08-02,Expired
M00186,Member 186,Male,44,Quarterly,Football,2025-05-03,2025-08-01,Expired
M00187,Member 187,Male,23,Monthly,Football,2026-02-05,2026-03-07,Expired
M00188,Member 188,Male,30,Annual,Gym,2025-10-21,2026-10-21,Active
M00189,Member 189,Female,42,Annual,Football,2025-10-07,2026-10-07,Active
M00190,Member 190,Female,61,Monthly,Gym,2025-07-17,2025-08-16,Expired
M00191,Member 191,Female,65,Annual,Basketball,2026-05-26,2027-05-26,Active
M00192,Member 192,Male,22,Annual,Badminton,2025-05-24,2026-05-24,Expired
M00193,Member 193,Female,18,Quarterly,Gym,2025-07-20,2025-10-18,Expired
M00194,Member 194,Female,44,Monthly,Swimming Pool,2025-05-04,2025-06-03,Expired
M00195,Member 195,Male,59,Monthly,Gym,2025-07-06,2025-08-05,Expired
M00196,Member 196,Male,39,Monthly,Football,2025-11-22,2025-12-22,Expired
M00197,Member 197,Female,18,Monthly,Basketball,2026-04-09,2026-05-09,Expired
M00198,Member 198,Female,35,Monthly,Basketball,2025-12-15,2026-01-14,Expired
M00199,Member 199,Female,61,Quarterly,Gym,2026-02-07,2026-05-08,Expired
M00200,Member 200,Male,30,Monthly,Badminton,2025-12-12,2026-01-11,Expired
M00201,Member 201,Female,40,Quarterly,Swimming Pool,2026-05-26,2026-08-24,Expired
M00202,Member 202,Male,45,Annual,Basketball,2025-05-27,2026-05-27,Expired
M00203,Member 203,Male,29,Annual,Football,2025-05-28,2026-05-28,Expired
M00204,Member 204,Male,22,Monthly,Football,2026-05-04,2026-06-03,Expired
M00205,Member 205,Female,32,Annual,Badminton,2026-07-05,2027-07-05,Active
M00206,Member 206,Female,59,Monthly,Basketball,2025-12-04,2026-01-03,Expired
M00207,Member 207,Male,35,Monthly,Gym,2026-04-18,2026-05-18,Expired
M00208,Member 208,Male,51,Quarterly,Football,2025-05-31,2025-08-29,Expired
M00209,Member 209,Female,24,Monthly,Badminton,2026-02-19,2026-03-21,Expired
M00210,Member 210,Male,53,Monthly,Basketball,2025-10-25,2025-11-24,Expired
M00211,Member 211,Female,63,Quarterly,Basketball,2025-09-20,2025-12-19,Expired
M00212,Member 212,Male,37,Monthly,Basketball,2025-05-24,2025-06-23,Expired
M00213,Member 213,Male,17,Monthly,Basketball,2025-12-12,2026-01-11,Expired
M00214,Member 214,Male,39,Monthly,Basketball,2026-07-26,2026-08-25,Expired
M00215,Member 215,Male,23,Quarterly,Football,2025-01-02,2025-04-02,Expired
M00216,Member 216,Female,26,Quarterly,Badminton,2025-10-31,2026-01-29,Expired
M00217,Member 217,Male,28,Monthly,Basketball,2025-09-11,2025-10-11,Expired
M00218,Member 218,Male,32,Monthly,Swimming Pool,2026-03-29,2026-04-28,Expired
M00219,Member 219,Female,23,Monthly,Swimming Pool,2025-02-06,2025-03-08,Expired
M00220,Member 220,Male,36,Monthly,Badminton,2025-06-09,2025-07-09,Expired
M00221,Member 221,Male,33,Quarterly,Gym,2025-01-09,2025-04-09,Expired
M00222,Member 222,Female,45,Monthly,Gym,2025-08-21,2025-09-20,Expired
M00223,Member 223,Female,33,Monthly,Gym,2025-04-09,2025-05-09,Expired
M00224,Member 224,Male,61,Quarterly,Swimming Pool,2025-07-27,2025-10-25,Expired
M00225,Member 225,Female,62,Quarterly,Gym,2025-05-11,2025-08-09,Expired
M00226,Member 226,Female,46,Quarterly,Football,2026-02-08,2026-05-09,Expired
M00227,Member 227,Male,53,Monthly,Basketball,2025-06-01,2025-07-01,Expired
M00228,Member 228,Male,47,Monthly,Swimming Pool,2025-02-23,2025-03-25,Expired
M00229,Member 229,Female,26,Monthly,Badminton,2025-04-30,2025-05-30,Expired
M00230,Member 230,Female,60,Monthly,Badminton,2026-08-10,2026-09-09,Active
M00231,Member 231,Male,40,Quarterly,Basketball,2026-02-24,2026-05-25,Expired
M00232,Member 232,Female,48,Annual,Swimming Pool,2026-02-26,2027-02-26,Active
M00233,Member 233,Female,53,Quarterly,Gym,2025-04-14,2025-07-13,Expired
M00234,Member 234,Male,56,Quarterly,Gym,2025-09-11,2025-12-10,Expired
M00235,Member 235,Male,23,Monthly,Football,2025-08-15,2025-09-14,Expired
M00236,Member 236,Male,26,Quarterly,Football,2025-04-22,2025-07-21,Expired
M00237,Member 237,Female,37,Monthly,Gym,2026-05-25,2026-06-24,Expired
M00238,Member 238,Male,39,Monthly,Badminton,2026-04-18,2026-05-18,Expired
M00239,Member 239,Female,56,Monthly,Badminton,2025-04-09,2025-05-09,Expired
M00240,Member 240,Female,32,Monthly,Football,2025-06-02,2025-07-02,Expired
M00241,Member 241,Female,27,Monthly,Basketball,2025-12-04,2026-01-03,Expired
M00242,Member 242,Male,61,Annual,Gym,2025-06-12,2026-06-12,Expired
M00243,Member 243,Female,47,Monthly,Football,2025-06-10,2025-07-10,Expired
M00244,Member 244,Male,30,Monthly,Football,2026-08-03,2026-09-02,Active
M00245,Member 245,Female,31,Monthly,Gym,2026-02-02,2026-03-04,Expired
M00246,Member 246,Male,37,Quarterly,Gym,2025-10-04,2026-01-02,Expired
M00247,Member 247,Male,43,Quarterly,Badminton,2026-05-19,2026-08-17,Expired
M00248,Member 248,Female,35,Quarterly,Basketball,2026-01-27,2026-04-27,Expired
M00249,Member 249,Male,48,Monthly,Basketball,2025-05-15,2025-06-14,Expired
M00250,Member 250,Male,25,Quarterly,Gym,2025-07-14,2025-10-12,Expired
M00251,Member 251,Female,55,Monthly,Swimming Pool,2026-02-05,2026-03-07,Expired
M00252,Member 252,Female,47,Annual,Football,2025-02-02,2026-02-02,Expired
M00253,Member 253,Female,65,Quarterly,Football,2026-04-05,2026-07-04,Expired
M00254,Member 254,Female,48,Monthly,Gym,2026-04-15,2026-05-15,Expired
M00255,Member 255,Male,17,Monthly,Swimming Pool,2026-01-10,2026-02-09,Expired
M00256,Member 256,Male,48,Monthly,Badminton,2025-01-22,2025-02-21,Expired
M00257,Member 257,Male,48,Monthly,Gym,2025-02-07,2025-03-09,Expired
M00258,Member 258,Male,56,Monthly,Gym,2025-08-18,2025-09-17,Expired
M00259,Member 259,Female,28,Quarterly,Football,2025-12-31,2026-03-31,Expired
M00260,Member 260,Female,45,Monthly,Gym,2026-07-17,2026-08-16,Expired
M00261,Member 261,Male,48,Monthly,Gym,2026-03-14,2026-04-13,Expired
M00262,Member 262,Male,28,Monthly,Gym,2025-10-10,2025-11-09,Expired
M00263,Member 263,Female,41,Monthly,Football,2025-01-27,2025-02-26,Expired
M00264,Member 264,Male,37,Annual,Badminton,2025-08-14,2026-08-14,Expired
M00265,Member 265,Female,54,Monthly,Badminton,2025-10-04,2025-11-03,Expired
M00266,Member 266,Male,17,Quarterly,Gym,2025-10-11,2026-01-09,Expired
M00267,Member 267,Female,53,Annual,Football,2026-04-26,2027-04-26,Active
M00268,Member 268,Male,54,Quarterly,Badminton,2026-03-29,2026-06-27,Expired
M00269,Member 269,Female,41,Annual,Badminton,2026-05-31,2027-05-31,Active
M00270,Member 270,Female,61,Monthly,Badminton,2026-07-01,2026-07-31,Expired
M00271,Member 271,Female,65,Annual,Football,2025-07-11,2026-07-11,Expired
M00272,Member 272,Female,30,Monthly,Football,2025-02-18,2025-03-20,Expired
M00273,Member 273,Female,49,Monthly,Gym,2026-05-27,2026-06-26,Expired
M00274,Member 274,Female,57,Quarterly,Basketball,2025-01-17,2025-04-17,Expired
M00275,Member 275,Male,59,Annual,Badminton,2025-06-21,2026-06-21,Expired
M00276,Member 276,Female,64,Annual,Basketball,2025-08-08,2026-08-08,Expired
M00277,Member 277,Female,55,Monthly,Football,2025-06-07,2025-07-07,Expired
M00278,Member 278,Male,26,Monthly,Football,2026-04-22,2026-05-22,Expired
M00279,Member 279,Female,18,Annual,Football,2025-02-15,2026-02-15,Expired
M00280,Member 280,Female,21,Monthly,Basketball,2026-01-08,2026-02-07,Expired
M00281,Member 281,Female,24,Quarterly,Football,2026-06-02,2026-08-31,Expired
M00282,Member 282,Male,21,Annual,Gym,2025-04-09,2026-04-09,Expired
M00283,Member 283,Male,24,Monthly,Football,2025-02-06,2025-03-08,Expired
M00284,Member 284,Female,54,Monthly,Swimming Pool,2025-10-07,2025-11-06,Expired
M00285,Member 285,Female,46,Monthly,Basketball,2025-12-15,2026-01-14,Expired
M00286,Member 286,Male,47,Monthly,Swimming Pool,2026-05-12,2026-06-11,Expired
M00287,Member 287,Female,56,Annual,Football,2025-10-29,2026-10-29,Active
M00288,Member 288,Female,65,Monthly,Gym,2025-06-30,2025-07-30,Expired
M00289,Member 289,Male,27,Annual,Badminton,2026-08-30,2027-08-30,Active
M00290,Member 290,Female,23,Monthly,Football,2025-04-09,2025-05-09,Expired
M00291,Member 291,Male,23,Annual,Gym,2025-04-26,2026-04-26,Expired
M00292,Member 292,Male,65,Monthly,Basketball,2025-07-10,2025-08-09,Expired
M00293,Member 293,Male,43,Monthly,Swimming Pool,2025-09-10,2025-10-10,Expired
M00294,Member 294,Female,35,Monthly,Swimming Pool,2025-06-10,2025-07-10,Expired
M00295,Member 295,Male,62,Quarterly,Swimming Pool,2025-09-13,2025-12-12,Expired
M00296,Member 296,Male,22,Quarterly,Basketball,2025-11-19,2026-02-17,Expired
M00297,Member 297,Male,26,Annual,Gym,2025-05-08,2026-05-08,Expired
M00298,Member 298,Male,35,Monthly,Basketball,2025-01-18,2025-02-17,Expired
M00299,Member 299,Female,31,Monthly,Swimming Pool,2026-07-20,2026-08-19,Expired
M00300,Member 300,Male,19,Monthly,Football,2026-07-24,2026-08-23,Expired
M00301,Member 301,Male,21,Monthly,Badminton,2025-11-19,2025-12-19,Expired
M00302,Member 302,Female,37,Monthly,Basketball,2025-10-15,2025-11-14,Expired
M00303,Member 303,Male,41,Annual,Basketball,2025-06-04,2026-06-04,Expired
M00304,Member 304,Male,18,Annual,Gym,2026-05-05,2027-05-05,Active
M00305,Member 305,Male,56,Annual,Gym,2026-01-21,2027-01-21,Active
M00306,Member 306,Male,57,Quarterly,Basketball,2025-04-14,2025-07-13,Expired
M00307,Member 307,Male,29,Monthly,Swimming Pool,2026-01-28,2026-02-27,Expired
M00308,Member 308,Male,26,Monthly,Badminton,2025-09-03,2025-10-03,Expired
M00309,Member 309,Male,33,Monthly,Gym,2025-06-25,2025-07-25,Expired
M00310,Member 310,Female,27,Annual,Swimming Pool,2025-02-08,2026-02-08,Expired
M00311,Member 311,Male,38,Monthly,Football,2026-04-22,2026-05-22,Expired
M00312,Member 312,Female,27,Monthly,Gym,2026-06-22,2026-07-22,Expired
M00313,Member 313,Female,28,Monthly,Swimming Pool,2026-02-12,2026-03-14,Expired
M00314,Member 314,Male,40,Monthly,Swimming Pool,2026-06-09,2026-07-09,Expired
M00315,Member 315,Female,60,Annual,Badminton,2026-05-21,2027-05-21,Active
M00316,Member 316,Male,34,Quarterly,Badminton,2025-02-05,2025-05-06,Expired
M00317,Member 317,Female,61,Monthly,Football,2025-01-20,2025-02-19,Expired
M00318,Member 318,Male,51,Annual,Swimming Pool,2025-11-17,2026-11-17,Active
M00319,Member 319,Male,60,Quarterly,Swimming Pool,2026-05-27,2026-08-25,Expired
M00320,Member 320,Male,23,Monthly,Badminton,2026-02-04,2026-03-06,Expired
M00321,Member 321,Female,44,Monthly,Gym,2026-04-16,2026-05-16,Expired
M00322,Member 322,Male,47,Monthly,Gym,2025-05-23,2025-06-22,Expired
M00323,Member 323,Female,59,Monthly,Basketball,2025-04-02,2025-05-02,Expired
M00324,Member 324,Male,33,Annual,Badminton,2025-12-20,2026-12-20,Active
M00325,Member 325,Female,21,Monthly,Basketball,2025-02-20,2025-03-22,Expired
M00326,Member 326,Male,33,Annual,Badminton,2026-07-29,2027-07-29,Active
M00327,Member 327,Female,34,Monthly,Football,2025-07-09,2025-08-08,Expired
M00328,Member 328,Male,37,Monthly,Swimming Pool,2025-05-05,2025-06-04,Expired
M00329,Member 329,Male,52,Monthly,Football,2025-05-30,2025-06-29,Expired
M00330,Member 330,Male,47,Monthly,Badminton,2025-11-10,2025-12-10,Expired
M00331,Member 331,Male,56,Monthly,Swimming Pool,2026-07-24,2026-08-23,Expired
M00332,Member 332,Female,18,Annual,Gym,2025-12-08,2026-12-08,Active
M00333,Member 333,Male,43,Monthly,Gym,2025-11-01,2025-12-01,Expired
